institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.043	0.186	0.041	0.319
1	0.046	0.150	0.063	0.308
2	0.038	0.094	0.060	0.244
3	0.037	0.090	0.049	0.213
4	0.046	0.148	0.060	0.322
5	0.046	0.183	0.051	0.328
6	0.052	0.183	0.042	0.331
7	0.056	0.216	0.041	0.371
8	0.056	0.268	0.039	0.432
9	0.065	0.290	0.028	0.457
10	0.059	0.282	0.042	0.465
11	0.062	0.232	0.049	0.429
12	0.064	0.288	0.048	0.499
13	0.072	0.275	0.053	0.474
14	0.046	0.289	0.034	0.427
15	0.063	0.269	0.046	0.444
16	0.061	0.383	0.066	0.553
17	0.061	0.383	0.066	0.553
