institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.059	0.122	0.049	0.059	0.035	0.171	0.143	0.095	0.267	1.000
1	0.056	0.120	0.051	0.073	0.030	0.184	0.120	0.094	0.272	1.000
2	0.064	0.120	0.058	0.065	0.023	0.166	0.123	0.101	0.280	1.000
3	0.049	0.096	0.040	0.053	0.019	0.147	0.120	0.103	0.371	1.000
4	0.057	0.125	0.053	0.067	0.026	0.160	0.139	0.099	0.274	1.000
5	0.053	0.140	0.055	0.073	0.023	0.169	0.137	0.086	0.264	1.000
6	0.038	0.095	0.038	0.055	0.023	0.140	0.121	0.099	0.392	1.000
7	0.033	0.088	0.036	0.047	0.017	0.134	0.127	0.102	0.415	1.000
8	0.038	0.108	0.038	0.060	0.019	0.142	0.137	0.104	0.355	1.000
9	0.038	0.095	0.034	0.046	0.018	0.127	0.131	0.107	0.404	1.000
10	0.042	0.092	0.039	0.044	0.023	0.140	0.132	0.107	0.380	1.000
11	0.045	0.097	0.044	0.058	0.023	0.149	0.139	0.116	0.329	1.000
12	0.037	0.076	0.032	0.040	0.029	0.149	0.138	0.114	0.385	1.000
13	0.042	0.095	0.040	0.051	0.022	0.150	0.139	0.115	0.345	1.000
14	0.044	0.098	0.042	0.063	0.024	0.164	0.142	0.114	0.309	1.000
15	0.043	0.102	0.039	0.063	0.022	0.164	0.144	0.111	0.310	1.000
16	0.066	0.145	0.055	0.074	0.031	0.175	0.125	0.092	0.237	1.000
17	0.083	0.165	0.055	0.075	0.031	0.163	0.108	0.087	0.234	1.000
18	0.093	0.180	0.063	0.076	0.030	0.147	0.095	0.071	0.246	1.000
19	0.074	0.178	0.056	0.084	0.032	0.176	0.125	0.078	0.197	1.000
20	0.088	0.197	0.060	0.087	0.032	0.163	0.119	0.072	0.182	1.000
21	0.068	0.158	0.058	0.071	0.030	0.137	0.100	0.079	0.301	1.000
22	0.067	0.139	0.045	0.055	0.021	0.131	0.102	0.081	0.359	1.000
23	0.057	0.113	0.033	0.075	0.015	0.109	0.091	0.081	0.427	1.000
