institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.053	0.117	0.048	0.063	0.028	0.161	0.137	0.101	0.293	1.000
1	0.055	0.129	0.054	0.066	0.023	0.162	0.130	0.092	0.289	1.000
2	0.041	0.086	0.031	0.045	0.021	0.136	0.139	0.116	0.387	1.000
3	0.040	0.079	0.030	0.048	0.021	0.150	0.139	0.114	0.379	1.000
4	0.037	0.074	0.041	0.055	0.029	0.162	0.139	0.119	0.344	1.000
5	0.036	0.084	0.035	0.055	0.023	0.148	0.137	0.112	0.369	1.000
6	0.037	0.098	0.032	0.057	0.020	0.145	0.134	0.109	0.368	1.000
7	0.042	0.098	0.042	0.055	0.025	0.162	0.146	0.112	0.319	1.000
8	0.040	0.095	0.039	0.059	0.023	0.158	0.136	0.112	0.339	1.000
9	0.060	0.137	0.057	0.077	0.027	0.173	0.139	0.098	0.233	1.000
10	0.066	0.150	0.062	0.082	0.031	0.180	0.135	0.090	0.205	1.000
11	0.071	0.165	0.058	0.088	0.034	0.186	0.122	0.086	0.190	1.000
12	0.083	0.193	0.061	0.085	0.034	0.185	0.118	0.081	0.160	1.000
13	0.093	0.205	0.066	0.079	0.032	0.167	0.102	0.067	0.190	1.000
14	0.089	0.171	0.057	0.069	0.029	0.142	0.093	0.076	0.274	1.000
15	0.084	0.171	0.053	0.072	0.027	0.138	0.093	0.073	0.290	1.000
16	0.095	0.168	0.061	0.074	0.030	0.133	0.094	0.064	0.283	1.000
17	0.113	0.259	0.075	0.104	0.034	0.158	0.083	0.054	0.120	1.000
18	0.077	0.197	0.072	0.119	0.037	0.150	0.133	0.084	0.132	1.000
19	0.117	0.327	0.078	0.152	0.048	0.135	0.082	0.042	0.020	1.000
