institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.047	0.104	0.042	0.059	0.025	0.153	0.135	0.107	0.329	1.000
1	0.062	0.138	0.050	0.072	0.027	0.171	0.128	0.094	0.259	1.000
2	0.065	0.144	0.055	0.069	0.031	0.172	0.123	0.088	0.253	1.000
3	0.080	0.189	0.066	0.083	0.031	0.164	0.105	0.071	0.211	1.000
4	0.095	0.209	0.061	0.082	0.031	0.152	0.096	0.070	0.205	1.000
5	0.081	0.175	0.057	0.075	0.027	0.164	0.109	0.079	0.232	1.000
6	0.102	0.170	0.060	0.071	0.031	0.142	0.090	0.071	0.264	1.000
7	0.091	0.160	0.042	0.059	0.027	0.118	0.089	0.071	0.343	1.000
8	0.098	0.186	0.055	0.065	0.026	0.137	0.088	0.065	0.280	1.000
9	0.097	0.200	0.059	0.063	0.029	0.122	0.087	0.050	0.293	1.000
10	0.088	0.138	0.043	0.056	0.024	0.091	0.101	0.066	0.393	1.000
11	0.082	0.088	0.025	0.043	0.019	0.068	0.114	0.106	0.455	1.000
12	0.091	0.087	0.035	0.042	0.019	0.077	0.113	0.108	0.429	1.000
13	0.107	0.085	0.023	0.051	0.011	0.056	0.084	0.114	0.469	1.000
