institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.065	0.131	0.054	0.067	0.032	0.171	0.132	0.095	0.254	1.000
1	0.061	0.113	0.045	0.072	0.033	0.193	0.136	0.094	0.252	1.000
2	0.052	0.127	0.050	0.064	0.022	0.150	0.137	0.095	0.303	1.000
3	0.044	0.120	0.051	0.064	0.023	0.161	0.127	0.095	0.316	1.000
4	0.039	0.095	0.037	0.054	0.020	0.143	0.127	0.104	0.381	1.000
5	0.040	0.102	0.036	0.052	0.018	0.142	0.136	0.098	0.375	1.000
6	0.035	0.094	0.031	0.040	0.017	0.127	0.136	0.103	0.416	1.000
7	0.026	0.063	0.029	0.037	0.018	0.123	0.136	0.115	0.453	1.000
8	0.037	0.092	0.028	0.041	0.018	0.128	0.125	0.110	0.418	1.000
9	0.036	0.079	0.031	0.038	0.019	0.130	0.131	0.102	0.435	1.000
10	0.042	0.103	0.036	0.056	0.023	0.153	0.143	0.115	0.328	1.000
11	0.035	0.075	0.028	0.051	0.020	0.148	0.138	0.128	0.376	1.000
12	0.040	0.066	0.039	0.052	0.027	0.150	0.132	0.124	0.371	1.000
13	0.038	0.088	0.036	0.060	0.023	0.151	0.136	0.115	0.353	1.000
14	0.049	0.108	0.040	0.055	0.024	0.152	0.134	0.104	0.333	1.000
15	0.076	0.159	0.056	0.076	0.031	0.171	0.123	0.087	0.221	1.000
16	0.093	0.200	0.079	0.094	0.036	0.180	0.112	0.071	0.134	1.000
17	0.083	0.186	0.054	0.075	0.026	0.148	0.096	0.068	0.263	1.000
