institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.052	0.118	0.048	0.064	0.026	0.160	0.133	0.098	0.301	1.000
1	0.038	0.082	0.034	0.047	0.022	0.143	0.135	0.114	0.384	1.000
2	0.035	0.075	0.029	0.048	0.021	0.141	0.142	0.121	0.389	1.000
3	0.040	0.086	0.034	0.060	0.023	0.157	0.146	0.119	0.335	1.000
4	0.048	0.117	0.049	0.068	0.025	0.179	0.138	0.103	0.274	1.000
5	0.050	0.136	0.054	0.076	0.028	0.176	0.140	0.098	0.242	1.000
6	0.088	0.179	0.070	0.095	0.036	0.190	0.128	0.076	0.138	1.000
7	0.104	0.220	0.068	0.084	0.034	0.173	0.101	0.066	0.150	1.000
8	0.072	0.154	0.051	0.066	0.026	0.133	0.093	0.078	0.326	1.000
9	0.085	0.204	0.054	0.097	0.036	0.179	0.136	0.099	0.110	1.000
