institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.046	0.101	0.041	0.059	0.025	0.156	0.137	0.108	0.328	1.000
1	0.069	0.152	0.058	0.072	0.029	0.171	0.130	0.094	0.224	1.000
2	0.091	0.200	0.066	0.081	0.032	0.173	0.110	0.074	0.172	1.000
3	0.072	0.138	0.044	0.064	0.023	0.149	0.095	0.076	0.338	1.000
4	0.070	0.171	0.054	0.081	0.029	0.156	0.103	0.076	0.261	1.000
5	0.098	0.205	0.068	0.092	0.037	0.168	0.096	0.060	0.175	1.000
6	0.100	0.205	0.071	0.079	0.027	0.150	0.091	0.069	0.207	1.000
7	0.093	0.204	0.066	0.079	0.034	0.165	0.096	0.069	0.193	1.000
8	0.086	0.184	0.055	0.071	0.027	0.128	0.094	0.064	0.292	1.000
9	0.069	0.166	0.049	0.075	0.032	0.129	0.088	0.073	0.320	1.000
10	0.068	0.127	0.045	0.064	0.025	0.133	0.106	0.076	0.355	1.000
11	0.078	0.177	0.061	0.071	0.028	0.142	0.116	0.085	0.242	1.000
12	0.112	0.269	0.079	0.055	0.024	0.225	0.091	0.056	0.090	1.000
