institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.046	0.102	0.041	0.059	0.025	0.155	0.137	0.108	0.326	1.000
1	0.084	0.183	0.063	0.082	0.033	0.186	0.124	0.079	0.164	1.000
2	0.086	0.181	0.063	0.081	0.028	0.164	0.114	0.078	0.205	1.000
3	0.077	0.172	0.055	0.077	0.028	0.160	0.100	0.076	0.255	1.000
4	0.077	0.179	0.056	0.077	0.032	0.150	0.094	0.065	0.271	1.000
5	0.082	0.181	0.059	0.074	0.028	0.147	0.090	0.067	0.273	1.000
6	0.080	0.168	0.064	0.073	0.032	0.148	0.099	0.072	0.264	1.000
7	0.102	0.212	0.070	0.079	0.032	0.163	0.088	0.068	0.186	1.000
8	0.086	0.179	0.061	0.074	0.028	0.146	0.099	0.072	0.256	1.000
9	0.113	0.214	0.068	0.078	0.029	0.149	0.093	0.070	0.186	1.000
10	0.118	0.220	0.064	0.080	0.027	0.163	0.092	0.073	0.165	1.000
11	0.107	0.199	0.069	0.081	0.035	0.153	0.099	0.052	0.205	1.000
12	0.092	0.211	0.053	0.075	0.037	0.164	0.089	0.064	0.215	1.000
13	0.094	0.243	0.061	0.078	0.037	0.151	0.094	0.053	0.190	1.000
14	0.068	0.168	0.057	0.082	0.039	0.120	0.099	0.074	0.294	1.000
15	0.035	0.182	0.027	0.067	0.029	0.057	0.089	0.102	0.411	1.000
16	0.058	0.062	0.033	0.075	0.011	0.079	0.108	0.074	0.500	1.000
