institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.051	0.109	0.047	0.060	0.029	0.160	0.139	0.101	0.305	1.000
1	0.046	0.113	0.043	0.061	0.020	0.155	0.137	0.108	0.317	1.000
2	0.047	0.099	0.038	0.053	0.024	0.148	0.133	0.104	0.353	1.000
3	0.040	0.085	0.041	0.054	0.028	0.163	0.142	0.116	0.330	1.000
4	0.038	0.092	0.037	0.059	0.024	0.152	0.133	0.107	0.357	1.000
5	0.039	0.097	0.035	0.054	0.021	0.153	0.141	0.110	0.350	1.000
6	0.040	0.081	0.034	0.059	0.021	0.139	0.137	0.120	0.370	1.000
7	0.048	0.101	0.043	0.065	0.022	0.167	0.139	0.109	0.306	1.000
8	0.071	0.148	0.059	0.079	0.024	0.171	0.138	0.090	0.219	1.000
9	0.075	0.182	0.075	0.094	0.033	0.193	0.129	0.079	0.140	1.000
10	0.080	0.200	0.075	0.085	0.037	0.190	0.116	0.077	0.140	1.000
11	0.092	0.190	0.057	0.076	0.032	0.157	0.095	0.069	0.232	1.000
12	0.089	0.167	0.056	0.071	0.027	0.140	0.097	0.073	0.279	1.000
13	0.094	0.187	0.057	0.075	0.030	0.147	0.098	0.075	0.238	1.000
14	0.131	0.256	0.085	0.110	0.039	0.163	0.089	0.044	0.082	1.000
15	0.165	0.240	0.068	0.093	0.033	0.174	0.082	0.056	0.090	1.000
