institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.053	0.116	0.046	0.063	0.026	0.159	0.132	0.102	0.304	1.000
1	0.080	0.171	0.059	0.079	0.030	0.163	0.109	0.077	0.230	1.000
2	0.088	0.210	0.059	0.078	0.032	0.162	0.093	0.068	0.210	1.000
3	0.090	0.196	0.060	0.074	0.028	0.145	0.089	0.067	0.251	1.000
4	0.091	0.147	0.040	0.054	0.023	0.132	0.101	0.075	0.336	1.000
5	0.094	0.126	0.037	0.044	0.018	0.091	0.091	0.078	0.420	1.000
6	0.111	0.119	0.023	0.040	0.018	0.084	0.114	0.075	0.417	1.000
7	0.087	0.087	0.029	0.049	0.013	0.067	0.115	0.101	0.453	1.000
8	0.102	0.076	0.022	0.057	0.012	0.063	0.095	0.115	0.460	1.000
9	0.087	0.074	0.032	0.036	0.009	0.068	0.102	0.102	0.488	1.000
10	0.027	0.039	0.019	0.062	0.008	0.057	0.155	0.101	0.532	1.000
