institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.048	0.106	0.043	0.061	0.025	0.156	0.136	0.106	0.319	1.000
1	0.073	0.164	0.058	0.079	0.031	0.176	0.117	0.084	0.220	1.000
2	0.082	0.184	0.061	0.078	0.031	0.168	0.102	0.074	0.219	1.000
3	0.090	0.201	0.066	0.080	0.033	0.156	0.096	0.064	0.215	1.000
4	0.093	0.211	0.064	0.083	0.030	0.154	0.097	0.066	0.202	1.000
5	0.086	0.176	0.054	0.070	0.025	0.137	0.092	0.076	0.285	1.000
6	0.093	0.179	0.055	0.070	0.028	0.139	0.087	0.068	0.282	1.000
7	0.093	0.151	0.042	0.059	0.029	0.135	0.096	0.076	0.319	1.000
8	0.113	0.197	0.051	0.066	0.028	0.135	0.092	0.070	0.247	1.000
9	0.097	0.174	0.054	0.064	0.028	0.135	0.102	0.070	0.276	1.000
10	0.078	0.147	0.045	0.055	0.022	0.098	0.111	0.073	0.372	1.000
11	0.089	0.091	0.026	0.051	0.011	0.070	0.097	0.104	0.460	1.000
12	0.100	0.088	0.025	0.049	0.013	0.077	0.089	0.110	0.449	1.000
13	0.083	0.089	0.032	0.034	0.015	0.079	0.104	0.101	0.463	1.000
14	0.027	0.039	0.019	0.062	0.008	0.057	0.155	0.101	0.532	1.000
