institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.041	0.091	0.041	0.056	0.025	0.155	0.138	0.112	0.341	1.000
1	0.043	0.100	0.036	0.057	0.023	0.151	0.134	0.108	0.348	1.000
2	0.051	0.111	0.042	0.059	0.025	0.156	0.139	0.102	0.316	1.000
3	0.051	0.096	0.039	0.061	0.024	0.152	0.135	0.111	0.330	1.000
4	0.041	0.101	0.041	0.062	0.023	0.149	0.138	0.102	0.344	1.000
5	0.057	0.119	0.050	0.067	0.025	0.163	0.129	0.105	0.285	1.000
6	0.058	0.139	0.061	0.077	0.025	0.171	0.129	0.096	0.246	1.000
7	0.084	0.184	0.060	0.082	0.028	0.190	0.125	0.080	0.166	1.000
8	0.078	0.183	0.074	0.088	0.033	0.193	0.121	0.080	0.150	1.000
9	0.079	0.206	0.076	0.089	0.035	0.195	0.117	0.076	0.128	1.000
10	0.084	0.173	0.054	0.072	0.030	0.144	0.098	0.072	0.273	1.000
11	0.100	0.191	0.059	0.079	0.031	0.163	0.105	0.080	0.192	1.000
12	0.093	0.198	0.061	0.086	0.020	0.157	0.137	0.095	0.152	1.000
