institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.053	0.117	0.048	0.061	0.027	0.160	0.138	0.100	0.295	1.000
1	0.046	0.105	0.039	0.055	0.021	0.149	0.137	0.108	0.339	1.000
2	0.040	0.089	0.036	0.057	0.025	0.155	0.142	0.109	0.348	1.000
3	0.053	0.110	0.051	0.066	0.028	0.172	0.139	0.106	0.275	1.000
4	0.051	0.131	0.053	0.071	0.028	0.172	0.131	0.098	0.264	1.000
5	0.052	0.128	0.043	0.064	0.025	0.159	0.130	0.100	0.299	1.000
6	0.076	0.155	0.051	0.070	0.028	0.150	0.108	0.086	0.276	1.000
7	0.080	0.149	0.051	0.070	0.025	0.139	0.103	0.079	0.305	1.000
8	0.089	0.179	0.056	0.074	0.031	0.155	0.102	0.076	0.239	1.000
9	0.139	0.252	0.103	0.102	0.044	0.168	0.085	0.043	0.064	1.000
10	0.145	0.320	0.087	0.119	0.034	0.149	0.054	0.043	0.050	1.000
