institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.050	0.113	0.046	0.064	0.023	0.158	0.130	0.100	0.315	1.000
1	0.045	0.109	0.040	0.051	0.024	0.144	0.141	0.104	0.341	1.000
2	0.037	0.082	0.034	0.047	0.022	0.133	0.137	0.113	0.395	1.000
3	0.034	0.074	0.029	0.044	0.023	0.149	0.141	0.117	0.389	1.000
4	0.038	0.077	0.037	0.054	0.024	0.156	0.141	0.125	0.347	1.000
5	0.049	0.090	0.040	0.058	0.026	0.167	0.139	0.110	0.320	1.000
6	0.040	0.081	0.031	0.057	0.024	0.149	0.132	0.115	0.371	1.000
7	0.052	0.129	0.050	0.071	0.025	0.184	0.137	0.093	0.258	1.000
8	0.055	0.122	0.046	0.071	0.028	0.181	0.137	0.103	0.258	1.000
9	0.057	0.142	0.067	0.070	0.032	0.182	0.135	0.100	0.216	1.000
10	0.057	0.128	0.057	0.071	0.032	0.175	0.136	0.099	0.244	1.000
11	0.057	0.126	0.053	0.080	0.028	0.176	0.132	0.100	0.247	1.000
12	0.056	0.113	0.048	0.068	0.026	0.172	0.138	0.105	0.272	1.000
13	0.074	0.153	0.052	0.082	0.027	0.163	0.124	0.090	0.236	1.000
14	0.078	0.174	0.064	0.082	0.033	0.172	0.127	0.083	0.188	1.000
15	0.095	0.195	0.066	0.091	0.035	0.168	0.129	0.078	0.142	1.000
16	0.068	0.189	0.064	0.085	0.034	0.180	0.129	0.075	0.175	1.000
17	0.077	0.180	0.062	0.085	0.032	0.185	0.117	0.079	0.183	1.000
18	0.086	0.202	0.066	0.080	0.031	0.176	0.108	0.079	0.173	1.000
19	0.106	0.192	0.056	0.078	0.032	0.156	0.093	0.074	0.212	1.000
20	0.081	0.168	0.053	0.064	0.026	0.128	0.085	0.067	0.328	1.000
21	0.059	0.110	0.036	0.051	0.017	0.107	0.099	0.085	0.435	1.000
22	0.058	0.115	0.037	0.063	0.024	0.105	0.095	0.085	0.418	1.000
23	0.079	0.260	0.039	0.191	0.021	0.133	0.066	0.067	0.144	1.000
