institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.056	0.125	0.048	0.066	0.027	0.161	0.131	0.099	0.287	1.000
1	0.081	0.174	0.054	0.069	0.030	0.151	0.095	0.076	0.270	1.000
2	0.099	0.192	0.060	0.069	0.025	0.137	0.086	0.066	0.267	1.000
3	0.094	0.161	0.051	0.058	0.019	0.124	0.084	0.070	0.339	1.000
4	0.075	0.107	0.026	0.044	0.020	0.105	0.090	0.080	0.453	1.000
5	0.078	0.066	0.015	0.036	0.021	0.085	0.094	0.096	0.509	1.000
6	0.072	0.065	0.020	0.036	0.015	0.071	0.113	0.076	0.534	1.000
7	0.077	0.077	0.027	0.041	0.012	0.068	0.118	0.091	0.490	1.000
8	0.097	0.080	0.020	0.048	0.013	0.056	0.083	0.119	0.483	1.000
9	0.096	0.067	0.018	0.046	0.013	0.061	0.093	0.115	0.491	1.000
