institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.047	0.105	0.043	0.060	0.025	0.156	0.136	0.107	0.323	1.000
1	0.070	0.163	0.056	0.078	0.031	0.172	0.119	0.084	0.227	1.000
2	0.096	0.193	0.065	0.080	0.034	0.164	0.099	0.071	0.197	1.000
3	0.093	0.189	0.058	0.072	0.025	0.139	0.091	0.065	0.268	1.000
4	0.089	0.188	0.051	0.068	0.024	0.129	0.089	0.066	0.296	1.000
5	0.110	0.174	0.059	0.076	0.030	0.148	0.104	0.069	0.228	1.000
6	0.143	0.223	0.068	0.073	0.040	0.144	0.087	0.057	0.164	1.000
7	0.106	0.077	0.022	0.022	0.004	0.051	0.080	0.106	0.532	1.000
8	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
9	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
