institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.041	0.094	0.039	0.056	0.023	0.152	0.137	0.111	0.346	1.000
1	0.068	0.153	0.056	0.073	0.032	0.180	0.132	0.089	0.217	1.000
2	0.078	0.167	0.064	0.088	0.032	0.189	0.129	0.085	0.167	1.000
3	0.088	0.181	0.071	0.097	0.033	0.190	0.118	0.071	0.152	1.000
4	0.086	0.190	0.070	0.101	0.035	0.176	0.115	0.078	0.150	1.000
5	0.092	0.190	0.074	0.090	0.039	0.190	0.110	0.067	0.148	1.000
6	0.081	0.183	0.060	0.077	0.031	0.170	0.110	0.072	0.215	1.000
7	0.078	0.205	0.069	0.088	0.032	0.170	0.105	0.073	0.180	1.000
8	0.097	0.228	0.071	0.093	0.032	0.162	0.103	0.061	0.154	1.000
9	0.102	0.229	0.067	0.084	0.032	0.172	0.100	0.061	0.152	1.000
10	0.097	0.199	0.058	0.076	0.032	0.159	0.105	0.073	0.201	1.000
11	0.097	0.200	0.061	0.074	0.026	0.159	0.108	0.069	0.205	1.000
12	0.092	0.175	0.047	0.065	0.024	0.146	0.094	0.075	0.285	1.000
13	0.096	0.194	0.054	0.068	0.026	0.142	0.104	0.071	0.246	1.000
14	0.085	0.159	0.049	0.064	0.021	0.117	0.092	0.079	0.334	1.000
15	0.086	0.157	0.047	0.056	0.026	0.122	0.075	0.073	0.358	1.000
16	0.090	0.152	0.039	0.056	0.023	0.110	0.075	0.074	0.381	1.000
17	0.082	0.143	0.040	0.054	0.027	0.103	0.076	0.069	0.406	1.000
18	0.058	0.101	0.030	0.046	0.021	0.095	0.087	0.080	0.481	1.000
19	0.079	0.133	0.042	0.044	0.023	0.097	0.077	0.081	0.425	1.000
20	0.114	0.171	0.045	0.044	0.013	0.133	0.080	0.064	0.336	1.000
21	0.075	0.265	0.119	0.046	0.008	0.078	0.088	0.085	0.236	1.000
22	0.078	0.389	0.160	0.040	0.012	0.111	0.073	0.071	0.066	1.000
24	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
